story_date;story_sequence_index;filename;is_meme;topic_primary;meme_type;source_mode;external_source_account;tone;ideological_target;notes;
10.01.2025;25;9425;0;catholic church,mass;screenshot;repost;gregor_konop;shocking;church;priest telling loads of rubbish;
10.01.2025;26;9426;0;news,airlines,kebab;screenshot;repost;daniel.kuberczyk;funny;;turkish airlines official introduce kabab in menu;
10.01.2025;27;9427;0;everydaylife;screenshot;repost;swobodny_lot_komety;funny;;toilet cleaning zodiac signs;
10.01.2025;28;9428;1;kebab;macro;original;;funny;;some man's photo next to photo with info about kebab in airlines;
10.01.2025;29;9429;0;everydaylife,realestate;screenshot;repost;olawpodrozy;shocking;;5 houses in zakopane without approval;
10.01.2025;30;9430;1;everydaylife,Szczecin;screenshot;repost;krolikowska_an;funny;;a/c in szczecin's castle with pictures of bricks stuck on to mask their presence;
10.01.2025;31;9431;0;reply;screenshot;reply;kuyaviastudio;funny;;;
10.01.2025;32;9432;1;selfrefential;macro;original;;funny;;all strange words MLH loves;
10.01.2025;33;9433;1;news,poland;screenshot;repost;morson_cat;funny;;onet news screenshot with 4 articles: rows during miesiecznica smolenska, molestation in catholic church, politicians, 6yearold hit by car;
10.01.2025;34;9434;1;everydaylife;video with caption;repost;nerwowe;funny;;cooking with induction stove w/ caption Praca w piątek;
10.01.2025;35;9435;0;nature,cats;video with caption;repost;swobodny_lot_komety;calming;;cat chilling on sofa, sea murmuring nearby;
10.01.2025;36;9436;0;commercial;text;;;;;announcement;
10.01.2025;37;9437;0;commercial;screenshot;repost;ingpolska;;;;
10.01.2025;38;9438;0;commercial;link;repost;ingpolska;;;;
10.01.2025;39;9439;0;commercial;text;;;;;announcement;
10.01.2025;40;9440;1;selfrefential;photo with caption;original;;funny;;homemade recording of the ad with homemade special effects;
10.01.2025;41;9441;0;reply;screenshot;reply;all_broken_pencils;funny;;ad's ranks from rotten tomatoes, imdb, filmweb;
10.01.2025;42;9442;1;selfrefential;photo with caption;original;;ironic;;"""perfect"" add with zenek martyniuk (musician)";
10.01.2025;43;9443;0;reply;screenshot;reply;szwagierkolaska;funny;;MLH as oscars contenders;
10.01.2025;44;9444;1;everydaylife;video with caption;repost;irena.janataeva;funny;working classes;women leaving the camera frame in an unusal way;
10.01.2025;45;9445;1;rickroll;photo with caption;repost;unattributed;funny;;knitted qr code to never gonna give you up;
10.01.2025;46;9446;1;reply;photo with caption;reply;fkadrze;funny;;"frame from MLH ad (Jacobe crawling with lighter on) w caption ""gdy ladowarka spadnie za kanape""";
10.01.2025;47;9447;0;reply;screenshot;reply;m_olejnik;funny;;;
10.01.2025;48;9448;0;reply;screenshot;reply;agnieszkadworznik;funny;;;
10.01.2025;49;9449;1;selfrefential;photo with caption;original;;funny;;"""Dajcie spokoj, od trzech dni mam zakwasy"" photo of Jakobe lying on stool in famous tom cruise position from mission impossible 1";
10.01.2025;50;9450;0;selfrefential;text;original;;funny;;;
10.01.2025;51;9451;1;reply;photo with caption;reply;sosohanys;funny;;"frame from MLH ad (Jacobe lying on stool) w caption ""ja gdy zona odkurza w mieszkaniu""";
10.01.2025;52;9452;1;reply;photo with caption;repost;pan_od_mapy;funny;;"frame from MLH ad (Jacobe lying on stool) w caption ""kot w wannie, gdy probujesz go wykąpac""";
10.01.2025;53;9453;1;news,poland,army;screenshot;repost;bipolska;funny;;soldiers lost mines, found them in transit to Ikea, accused;
10.01.2025;54;9454;1;pakistan,airlines;screenshot;repost;unattributed;funny;;"Pakistan back to fly to paris; poster with airplane flying into eiffel tower";
10.01.2025;55;9456;0;nature,animals;video with caption;repost;dropsthedogfanpage;calming;;family of boars in vegetation;
11.01.2025;1;9457;1;lewandowski,szczesny;video with caption;repost;unattributed;funny;;drinking ;
11.01.2025;2;9458;1;selfrefential;photo with caption;original;;;football;lewandowski i szczesny drinking;
11.01.2025;3;9459;1;drinking;photo with caption;repost;martalipniewicz;funny;football;lewandowski i szczesny drinking, caption Za bezpieczny weekend, Wladziu!;
11.01.2025;4;9460;1;drinking;photo with caption;original;;funny;football;lewandowski i szczesny drinking, caption Smacznej herbatki Niech Penia zatrzasnie sie w szatni!;
11.01.2025;5;9461;1;reply;photo with caption;repost;sandzia_pandzia;funny;;"frame from MLH ad (Jacobe lying on stool) w caption ""Ja: chce otworzyc szuflade. tluczek do ziemniakow:""";
11.01.2025;6;9462;0;news,poland,extradiction;screenshot;repost;unattributed;informative;;;
11.01.2025;7;9463;0;reply;screenshot;reply;matys_2137;funny;;;
11.01.2025;8;9464;0;everydaylife;screenshot;original;;quirky;;sharing instagram profile of a clam Maurice;
11.01.2025;9;9465;1;everydaylife;screenshot;original;;funny;;clam sitting in deckchair, caption Wchodzac w dwudzionek;
11.01.2025;10;9466;1;trzaskowski;screenshot;repost;Rafał Trzaskowski's IG;informative;conservatives;Trzaskowski's notice of snow drifts with caption Czaskoskiii (referring to rightwing politicians tendency to blame him for every problem in warsaw);
11.01.2025;11;9467;1;trzaskowski;video with caption;original;;funny;;snow plough leaving station;
11.01.2025;12;9468;0;selfrefential;text;;;ironic;;trigger warning;
11.01.2025;13;9469;0;nature,birds;video with caption;repost;dolinskyy;funny;;great tits eating breakfast for 1 minute;
11.01.2025;14;9470;0;nature;;;;picturesque;;forest winter;
11.01.2025;15;9471;0;tv republika;screenshot;repost;unattributed;shocking;;owsiak demoralises youth;
11.01.2025;16;9472;1;everydaylife;screenshot;repost;_janvasil;informative;;health benefits of drinking coffee;
11.01.2025;17;9473;1;everydaylife;video with caption;repost;karl_ju;funny;;polish breakfast: scrambled eggs, bread with pate and tomatoes;
11.01.2025;18;9474;0;news,pope,catholic;screenshot;repost;one_gram_of_happiness;informative;church;news about homosexuals now able to join seminars;
11.01.2025;19;9475;0;reply;text;original;;;church;comment: perhaps joke that they have always been able ;
11.01.2025;20;9476;1;nostalgia;video with caption;repost;polish_nostalgia;nostalgic;;Sounds evoking nostalgia;
11.01.2025;21;9477;1;everydaylife;screenshot;repost;dagmara.philippot;funny;;"job listing with Attential to detail as requirement (in Polish typo ""Dkładność"")";
11.01.2025;22;9478;1;everydaylife;photo with caption;repost;unattributed;funny;working classes;"grafitti ""Jebac kult zapierdolu""";
11.01.2025;23;9479;0;news,celebrities;screenshot;repost;tvn24.pl;informative;;Taco Hemingway proposed as name for square/street in Warsaw;
11.01.2025;24;9480;0;reply;screenshot;reply;ziajkowski;funny;;reply to story #9474 (Whats the diff, they are celibate anyway);
11.01.2025;25;9481;1;reply;macro;original;;funny;;"photo of priest laughing, caption "" -""W celibacie""""";
11.01.2025;26;9482;0;news,sports,poland;video with caption;repost;eurosportpl;informative;;success at snowboarding of a polish female contender;
11.01.2025;27;9483;0;news,nature;screenshot;repost;unattributed;informative;;Maurice, the clam, died;
11.01.2025;28;9484;0;selfrefential;video with caption;repost;maurice_the_clam;funny;;"Maurince in deckchair, chillin, caption ""Takim go zapamiętamy""";
